"Производитель 
(Название 
На русском/английском языке, 
или ID) ","Страна происхождения товара 
(2-х буквенный код)","Бренд
(Название 
На русском/английском языке, 
или ID) ","Серия
(Название 
На русском/английском языке, 
или ID) ",Артикул производителя,Наш артикул,Наименование,Штрихкод(ы),Категория (название категории, или ID),"Категория
(Название подкатегории, или ID, или несколько названий/ID через запятую )","Масса нетто
(число+килограмм)","Масса брутто
(число+килограмм)","Длина 
Упаковки
(число+см)","Ширина упаковки
(число+см)","Высота 
Упаковки
(число+см)","Цена 
(число+руб)","Фото 
(ссылка)","Цена 
Под заказ (руб)",,
Бюбхен,DE,Бюбхен,Кидс,122 16928,,Бюбхен Кидс Бальзам д/губ Принцесса Розалея с 3 лет 10мл туба,,637,,1,1,1,1,1,,,99,31,,
Бюбхен,DE,Бюбхен,Кидс,121 99759,,Бюбхен Кидс Пена д/ванны детск. с 3-х лет 230 мл. фл.,,637,,1,1,1,1,1,,,126,56,,
Бюбхен,DE,Бюбхен,Кидс,122 04676,,Бюбхен Кидс Пенка Сафари  для умывания и купания 300 мл. фл. с 3лет,,637,,1,1,1,1,1,,,219,20,,
Бюбхен,DE,Бюбхен,Кидс,121 99855,,Бюбхен Кидс Средство Принцесса Розалея  для ванны и душа 230 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,126,56,,
Бюбхен,DE,Бюбхен,Кидс,122 16299,,Бюбхен Кидс Шампунь Абрикос для волос и тела 230 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,126,56,,
Бюбхен,DE,Бюбхен,Кидс,120 47088,,Бюбхен Кидс Шампунь Абрикос для волос и тела 50 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,45,43,,
Бюбхен,DE,Бюбхен,Кидс,121 99841,,Бюбхен Кидс Шампунь Бамбуковая панда  для волос и тела 230 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,126,56,,
Бюбхен,DE,Бюбхен,Кидс,122 24274,,"Бюбхен Кидс Шампунь д/волос и тела детск ""Медовый"" 230 мл. с 3 лет",,637,,1,1,1,1,1,,,126,56,,
Бюбхен,DE,Бюбхен,Кидс,122 16420,,Бюбхен Кидс Шампунь Дыня  для волос и тела 230 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,126,56,,
Бюбхен,DE,Бюбхен,Кидс,121 99850,,Бюбхен Кидс Шампунь Зов джунглей  для волос и тела 230 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,126,56,,
Бюбхен,DE,Бюбхен,Кидс,122 16293,,Бюбхен Кидс Шампунь и бальзам Принцесса Розалея 230 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,126,56,,
Бюбхен,DE,Бюбхен,Кидс,120 46803,,Бюбхен Кидс Шампунь Малина  для волос и тела 50 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,45,43,,
Бюбхен,DE,Бюбхен,Кидс,122 16291,,Бюбхен Кидс Шампунь Малина для волос и тела 230 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,126,56,,
Бюбхен,DE,Бюбхен,Кидс,120 46804,,Бюбхен Кидс Шампунь Принцесса Розалея 2 в 1 50 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,45,43,,
Бюбхен,DE,Бюбхен,Кидс,121 99856,,Бюбхен Кидс Шампунь Сафари для волос и тела 230 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,126,56,,
Бюбхен,DE,Бюбхен,Кидс,122 16294,,Бюбхен Кидс Шампунь Спорт и удовольствие для волос и тела 230 мл. фл. с 3 лет,,637,,1,1,1,1,1,,,126,56,,
Бюбхен,DE,Бюбхен,Кидс,121 99758,,Бюбхен Кидс Шампунь,бальзам ,гель д/душа 3 в1 230 мл. фл. с 3-х лет,,637,,1,1,1,1,1,,,126,56
Бюбхен,DE,Бюбхен,Крем,121 76927,,Бюбхен Крем для лица и рук Бархатный, 125 мл. с рождения,,637,,1,1,1,1,1,,,182,81,
Бюбхен,DE,Бюбхен,Крем,121 07148,,Бюбхен Крем для младенцев 150 мл. банка с рожден.,,637,,1,1,1,1,1,,,146,30,,
Бюбхен,DE,Бюбхен,Крем,120 64966,,Бюбхен Крем для младенцев 20 мл. банка с рожден.,,637,,1,1,1,1,1,,,45,2,,
Бюбхен,DE,Бюбхен,Крем,120 49849,,Бюбхен Крем космет. 75 мл. банка с рожден.,,637,,1,1,1,1,1,,,111,76,,
Бюбхен,DE,Бюбхен,Крем,121 07085,,Бюбхен Крем при непогоде 75 мл. туба с рожден.,,637,,1,1,1,1,1,,,134,99,,
Бюбхен,DE,Бюбхен,Крем,121 07084,,Бюбхен Крем спец. защит. 100 мл. туба с рожден.,,637,,1,1,1,1,1,,,166,2,,
Бюбхен,DE,Бюбхен,Крем,120 46648,,Бюбхен Крем увлажн. нежн. 20 мл. банка с рожден.,,637,,1,1,1,1,1,,,45,2,,
Бюбхен,DE,Бюбхен,Крем,121 04442,,Бюбхен Крем увлажн. нежн. 75 мл. туба с рожден.,,637,,1,1,1,1,1,,,109,4,,
Бюбхен,DE,Бюбхен,Масло,118 11334,,Бюбхен Масло для младенцев 200 мл фл. с рожден.,,637,,1,1,1,1,1,,,108,60,,
Бюбхен,DE,Бюбхен,Масло,120 64964,,Бюбхен Масло для младенцев 40 мл фл. с рожден.,,637,,1,1,1,1,1,,,45,2,,
Бюбхен,DE,Бюбхен,Масло,118 11349,,Бюбхен Масло для младенцев 400 мл фл. с рожден.,,637,,1,1,1,1,1,,,178,44,,
Бюбхен,DE,Бюбхен,Масло,122 45262,,"Бюбхен Масло для ухода за кожей ""Календула"", 200 мл. с рождения",,637,,1,1,1,1,1,,,166,76,,
Бюбхен,DE,Бюбхен,Молочко,118 11332,,Бюбхен Молочко для тела 200 мл фл. с рожден.,,637,,1,1,1,1,1,,,108,60,,
Бюбхен,DE,Бюбхен,Молочко,118 11347,,Бюбхен Молочко для тела 400 мл.фл. с рожден.,,637,,1,1,1,1,1,,,178,44,,
Бюбхен,DE,Бюбхен,Молочко,120 61975,,Бюбхен Молочко для тела 50 мл фл. с рожден.,,637,,1,1,1,1,1,,,45,2,,
Бюбхен,DE,Бюбхен,Молочко,122 45263,,Бюбхен Молочко Календула с рождения 200мл.,,637,,1,1,1,1,1,,,212,59,,
Бюбхен,DE,Бюбхен,Мыло,120 16578,,Бюбхен Мыло детск. 125 г. кор. с рожден.,,637,,1,1,1,1,1,,,57,42,,
Бюбхен,DE,Бюбхен,Присыпка,120 67466,,Бюбхен Присыпка детск. 100 г. шт. с рожден.,,637,,1,1,1,1,1,,,124,95,,
Бюбхен,DE,Бюбхен,Салфетки,122 40852,,Бюбхен Салфетки влажн. д/ухода за чувствительной кожей, 20 шт. с рожден.,,637,,1,1,1,1,1,,,98,86,
Бюбхен,DE,Бюбхен,Салфетки,120 15596,,Бюбхен Салфетки влажн. детск. Комфорт 72 шт мягкая уп. с рожден.,,637,,1,1,1,1,1,,,225,11,,
Бюбхен,DE,Бюбхен,Салфетки,120 40560,,Бюбхен Салфетки промаслен. дет. 72 шт.  с рожд..,,637,,1,1,1,1,1,,,249,87,,
Бюбхен,DE,Бюбхен,Средства для купания,120 15561,,Бюбхен Гель д/купания детск. 400 мл. фл. с рожден.,,637,,1,1,1,1,1,,,259,12,,
Бюбхен,DE,Бюбхен,Средства для купания,120 65506,,Бюбхен Гель д/купания детск. 50 мл. фл. с рожден.,,637,,1,1,1,1,1,,,45,2,,
Бюбхен,DE,Бюбхен,Средства для купания,120 32639,,Бюбхен Крем детск.д/ мытья и душа 300 мл. фл. алоэ, с рожден.,,637,,1,1,1,1,1,,,259,12,
Бюбхен,DE,Бюбхен,Средства для купания,118 11335,,Бюбхен Средство д/купания детск. 200 мл. фл. с рожден.,,637,,1,1,1,1,1,,,108,60,,
Бюбхен,DE,Бюбхен,Средства для купания,118 11350,,Бюбхен Средство д/купания детск. 400 мл. фл. с рожден.,,637,,1,1,1,1,1,,,178,44,,
Бюбхен,DE,Бюбхен,Средства для купания,120 64965,,Бюбхен Средство д/купания детск. 50 мл. фл. с рожден.,,637,,1,1,1,1,1,,,45,2,,
Бюбхен,DE,Бюбхен,Шампунь,120 43507,,Бюбхен Шампунь детск. 200 мл. с рожден.Ромашка+Алоэ,,637,,1,1,1,1,1,,,108,60,,
Бюбхен,DE,Бюбхен,Шампунь,118 11333,,Бюбхен Шампунь детск. 200 мл. с рожден.Ромашка+Пшеница,,637,,1,1,1,1,1,,,108,60,,
Бюбхен,DE,Бюбхен,Шампунь,118 11348,,Бюбхен Шампунь детск. 400 мл. фл. с рожден.,,637,,1,1,1,1,1,,,178,44,,
Бюбхен,DE,Бюбхен,Шампунь,120 61976,,Бюбхен Шампунь детск. 50 мл. фл. с рожден.,,637,,1,1,1,1,1,,,45,2,,
