"Производитель 
(Название 
На русском/английском языке, 
или ID) ","Страна происхождения товара 
(2-х буквенный код)","Бренд
(Название 
На русском/английском языке, 
или ID) ","Серия
(Название 
На русском/английском языке, 
или ID) ",Артикул производителя,Наш артикул,Наименование,Штрихкод(ы),Категория (название категории, или ID),"Категория
(Название подкатегории, или ID, или несколько названий/ID через запятую )","Масса нетто
(число+килограмм)","Масса брутто
(число+килограмм)","Длина 
Упаковки
(число+см)","Ширина упаковки
(число+см)","Высота 
Упаковки
(число+см)","Цена 
(число+руб)","Фото 
(ссылка)","Цена 
Под заказ (руб)",,
Libero,SE,Libero,Подгузники Libero,3066/375770,,Libero Трусики для плавания №6 вес 7-12кг,,637,,1,1,1,1,1,,,222,35,,
MOMMA,IT,MOMMA,Бутылочки MOMMA,20004.20,,MOMMA Бутылочка -поильник 250 мл непроливайка с двумя руч.,оранж.,с 6+ мес.,,637,,1,1,1,1,1,,,531,52
MOMMA,IT,MOMMA,Бутылочки MOMMA,20009.40,,MOMMA Бутылочка с соской + двойн. ручка 250 мл красн.,с 6+ мес.,,637,,1,1,1,1,1,,,505,11,
MOMMA,IT,MOMMA,Бутылочки MOMMA,20010.00,,MOMMA Бутылочка с соской 250 мл в ассорт.,с 0+ мес.,,637,,1,1,1,1,1,,,267,80,
MOMMA,IT,MOMMA,Бутылочки MOMMA,20001.30,,MOMMA Бутылочка с соской 250 мл зелен.,с 4+ мес.,,637,,1,1,1,1,1,,,385,50,
MOMMA,IT,MOMMA,Бутылочки MOMMA,20001.20,,MOMMA Бутылочка с соской 250 мл оранж., с 4+ мес.,,637,,1,1,1,1,1,,,385,50,
MOMMA,IT,MOMMA,Посуда MOMMA,22002.30,,МОММА Вилка зел.,6+ мес.,,637,,1,1,1,1,1,,,222,74,
MOMMA,IT,MOMMA,Посуда MOMMA,22002.20,,МОММА Вилка оранж.,6+ мес.,,637,,1,1,1,1,1,,,222,74,
MOMMA,IT,MOMMA,Посуда MOMMA,22002.50,,МОММА Вилка синяя, 6+ мес.,,637,,1,1,1,1,1,,,206,72,
MOMMA,IT,MOMMA,Посуда MOMMA,90004.00,,МОММА Набор Учимся есть (тарел+лож+вил) в ассорт., с 4+ мес.,,637,,1,1,1,1,1,,,647,90,
BIBI,CH,BIBI,Аксессуары BIBI,02.166-40,,БИБИ Ершик д/бутылочки мяг/уп №1,,637,,1,1,1,1,1,,,265,20,,
BIBI,CH,BIBI,Аксессуары BIBI,103590/04.563-40,,БИБИ Набор расческа+щетка из натур.щетины тв/уп №1,,637,,1,1,1,1,1,,,309,40,,
BIBI,CH,BIBI,Аксессуары BIBI,04.632-40,,БИБИ Нагрудник I LOVE MAMA на липучке мяг/уп №1,,637,,1,1,1,1,1,,,382,20,,
BIBI,CH,BIBI,Аксессуары BIBI,103591/34.147-40,,БИБИ Ножницы  в защит.футляре тв/уп №1,,637,,1,1,1,1,1,,,232,70,,
BIBI,CH,BIBI,Аксессуары BIBI,04.618-40,,БИБИ Прокладки на грудь впитыв. однор. из хлопка,тв/уп №50,,637,,1,1,1,1,1,,,431,60,
BIBI,CH,BIBI,Аксессуары BIBI,111097,,БИБИ Цепочка для пустышек  тв/уп №1 (Мама/Папа Классика),,637,,1,1,1,1,1,,,267,80,,
BIBI,CH,BIBI,Аксессуары BIBI,04.030.40,,БИБИ Цепочка для пустышек тв/уп №1,,637,,1,1,1,1,1,,,267,80,,
BIBI,CH,BIBI,Бутылочки BIBI,108411,,БИБИ  Бутылочка комфорт 125 мл с ортод. соской для чая/воды Little Stars в ассорт.,,637,,1,1,1,1,1,,,217,10,,
BIBI,CH,BIBI,Бутылочки BIBI,107979,,БИБИ  Бутылочка комфорт 125 мл с ортод. соской для чая/воды Mama,,637,,1,1,1,1,1,,,217,10,,
BIBI,CH,BIBI,Бутылочки BIBI,107980,,БИБИ  Бутылочка комфорт 125 мл с ортод. соской для чая/воды Papa,,637,,1,1,1,1,1,,,217,10,,
BIBI,CH,BIBI,Бутылочки BIBI,108262,,БИБИ  Бутылочка комфорт 150 мл с шир. горл. с соской регулир. поток  Boy,,637,,1,1,1,1,1,,,236,60,,
BIBI,CH,BIBI,Бутылочки BIBI,108255,,БИБИ  Бутылочка комфорт 150 мл с шир. горл. с соской регулир. поток  Girl,,637,,1,1,1,1,1,,,236,60,,
BIBI,CH,BIBI,Бутылочки BIBI,107992,,БИБИ  Бутылочка комфорт 150 мл с шир. горл. с соской регулир. поток  Little Stars в ассорт.,,637,,1,1,1,1,1,,,236,60,,
BIBI,CH,BIBI,Бутылочки BIBI,107989,,БИБИ  Бутылочка комфорт 150 мл с шир. горл. с соской регулир. поток  Mama/Papa в ассорт.,,637,,1,1,1,1,1,,,236,60,,
BIBI,CH,BIBI,Бутылочки BIBI,108250,,БИБИ  Бутылочка комфорт 150 мл с шир. горл. с соской регулир. поток  Papa,,637,,1,1,1,1,1,,,236,60,,
BIBI,CH,BIBI,Бутылочки BIBI,108429,,БИБИ  Бутылочка комфорт 250 мл с ортод. соской для молока Little Stars в ассорт.,,637,,1,1,1,1,1,,,240,50,,
BIBI,CH,BIBI,Бутылочки BIBI,107993,,БИБИ  Бутылочка комфорт 250 мл с шир. горл. с соской регулир. поток  Little Stars в ассорт.,,637,,1,1,1,1,1,,,252,20,,
BIBI,CH,BIBI,Бутылочки BIBI,108271,,БИБИ  Бутылочка комфорт 350 мл с шир. горл. с соской регулир. поток  Boy,,637,,1,1,1,1,1,,,269,10,,
BIBI,CH,BIBI,Бутылочки BIBI,108270,,БИБИ  Бутылочка комфорт 350 мл с шир. горл. с соской регулир. поток  Girl,,637,,1,1,1,1,1,,,269,10,,
BIBI,CH,BIBI,Бутылочки BIBI,107994,,БИБИ  Бутылочка комфорт 350 мл с шир. горл. с соской регулир. поток  Little Stars в ассорт.,,637,,1,1,1,1,1,,,269,10,,
BIBI,CH,BIBI,Бутылочки BIBI,108253,,БИБИ  Бутылочка комфорт 350 мл с шир. горл. с соской регулир. поток  Mama,,637,,1,1,1,1,1,,,269,10,,
BIBI,CH,BIBI,Бутылочки BIBI,107991,,БИБИ  Бутылочка комфорт 350 мл с шир. горл. с соской регулир. поток  Mama/Papa в ассорт.,,637,,1,1,1,1,1,,,269,10,,
BIBI,CH,BIBI,Бутылочки BIBI,108254,,БИБИ  Бутылочка комфорт 350 мл с шир. горл. с соской регулир. поток  Papa,,637,,1,1,1,1,1,,,269,10,,
BIBI,CH,BIBI,Бутылочки BIBI,104989/01.031-40,,БИБИ Бутылочка 125мл с/с ортод. д/чая,  ПАПА/МАМА,,637,,1,1,1,1,1,,,351,0,
BIBI,CH,BIBI,Бутылочки BIBI,105197/01.034.11-40,,БИБИ Бутылочка 150мл с/с ортодон. д/чая,воды,сока. /Сезонная коллекция/,,637,,1,1,1,1,1,,,411,98
BIBI,CH,BIBI,Бутылочки BIBI,01.553.11-40,,БИБИ Бутылочка 250мл с ручк.,шир. горл. с/с 3.2.1 рег.пот.ПАПА/Пастель,,637,,1,1,1,1,1,,,432,90,
BIBI,CH,BIBI,Бутылочки BIBI,104990/01.231-40,,БИБИ Бутылочка 250мл с/с ортод. д/молока,  ПАПА/МАМА,,637,,1,1,1,1,1,,,380,90,
BIBI,CH,BIBI,Бутылочки BIBI,105198/01.234.11-40,,БИБИ Бутылочка 250мл с/с ортодон. д/мол. /Сезонная коллекция/,,637,,1,1,1,1,1,,,380,90,,
